encourage,alentar,encourager
living,viviendo,vivant
contribute,contribuir,contribuer
advise,aconsejar,conseiller
essentially,esencialmente,essentiellement
sad,triste,triste
mail,correo,courrier
persuade,persuadir,persuader
electric,electrico,electrique
pretend,pretender,faire semblant
brick,ladrillo,brique
anything,cualquier cosa,rien
against,en contra,contre
forever,siempre,toujours
manufacturer,fabricante,fabricant
science,ciencia,la science
reasonable,razonable,raisonnable
argument,argumento,argument
sheet,sabana,drap
two,dos,deux
extremely,extremadamente,extrêmement
immigration,inmigracion,immigration
pull,jalar,tirer
freedom,libertad,liberte
wish,deseo,souhaiter
presence,presencia,presence
design,diseno,conception
stake,apostar,pieu
energy,energia,energie
pattern,patron,modèle
aware,consciente,au courant
fishing,pesca,faire de la pêche
sweet,dulce,sucre
physical,fisico,physique
commit,cometer,s'engager
thing,cosa,chose
soon,pronto,bientôt
surprisingly,asombrosamente,etonnamment
reference,referencia,reference
phrase,frase,phrase
each,cada,chaque
indicate,indicar,indiquer
landscape,paisaje,paysage
breath,respiracion,souffle
business,negocio,affaires
then,luego,ensuite
full,completo,plein
grant,conceder,accorder
turn,girar,tourner
hard,duro,dur
car,coche,auto
depending,dependiente,"en fonction, dependemment"
ship,embarcacion,bateau
father,padre,père
part,parte,partie
relation,relacion,relation
push,empujar,pousser
occasionally,de vez en cuando,parfois
clear,claro,degager
healthy,saludable,sain
without,sin,sans pour autant
leader,lider,chef
park,parque,parc
digital,digital,numerique
lawyer,abogado,avocat
release,liberar,liberation
check,controlar,chèque
dramatically,dramaticamente,radicalement
learn,aprender,apprendre
payment,pago,paiement
teacher,profesor,prof
perfectly,perfectamente,à la perfection
if,si,si
defensive,defensivo,defensive
instruction,instruccion,instruction
composition,composicion,composition
detailed,detallado,detaille
player,jugador,joueur
pay,pagar,payer
legitimate,legitimo,legitime
territory,territorio,territoire
subject,tema,matière
scholarship,beca,bourse
difference,diferencia,difference
loose,suelto,ample
himself,el mismo,lui-même
buck,dolar,mâle
consistent,consistente,coherent
silence,silencio,silence
fan,ventilador,ventilateur
by,por,par
origin,origen,origine
must,deber,devoir
attention,atencion,attention
luck,suerte,chance
pink,rosa,rose
clue,pista,indice
assign,asignar,attribuer
decline,disminucion,declin
predict,predecir,predire
advanced,avanzado,avancee
open,abierto,ouvrir
choice,eleccion,choix
instance,ejemplo,exemple
directly,directamente,directement
regard,respecto,qui concerne
eventually,finalmente,finalement
ancient,antiguo,ancien
assault,asalto,agression
after,despues,après
blood,sangre,du sang
chamber,camara,chambre
before,antes de,avant de
height,altura,la taille
huge,enorme,enorme
shock,choque,choc
regularly,regularmente,regulièrement
initiative,iniciativa,initiative
twelve,doce,douze
contact,contacto,contact
coach,entrenador,entraîneur
wet,mojado,mouiller
stair,escalera,escalier
tape,cinta,ruban
western,occidental,occidental
celebrity,celebridad,celebrite
analyst,analista,analyste
framework,estructura,cadre
disaster,desastre,catastrophe
studio,estudio,studio
ethnic,etnico,ethnique
extreme,extremo,extrême
anymore,ya no,plus
alive,vivo,vivant
entrance,entrada,entree
a,un,une
resort,recurso,recours
unless,a no ser que,à moins que
success,exito,succès
except,excepto,à l'exception
influence,influencia,influence
proper,adecuado,correct
mean,significar,signifier
amount,monto,montant
smoke,humo,fumee
column,columna,colonne
representative,representante,representant
limited,limitado,limite
necessary,necesario,necessaire
preference,preferencia,preference
past,pasado,passe
hand,mano,main
rock,rock,roche
campaign,campana,campagne
complain,quejarse,se plaindre
period,periodo,point final
inflation,inflacion,inflation
fish,pez,poisson
word,palabra,mot
step,paso,etape
movement,movimiento,mouvement
expense,gastos,frais
cream,crema,crème
clean,limpio,nettoyer
bury,enterrar,enterrer
consumer,consumidor,consommateur
attorney,abogado,avocat
leather,cuero,cuir
contract,contrato,contrat
wear,tener puesto,porter
meeting,reunion,rencontre
meet,reunirse,rencontrer
lean,inclinarse,mince
sustain,sostener,soutenir
exceed,exceder,depasser
bullet,bala,balle
achieve,lograr,atteindre
location,ubicacion,lieu
yeah,si,ouais
wake,despertar,reveiller
think,pensar,pense
leg,pierna,jambe
tradition,tradicion,tradition
power,energia,puissance
terrible,terrible,terrible
depression,depresion,depression
comfortable,comodo,à l'aise
when,cuando,lorsque
ride,paseo,conduire
characterize,caracterizar,caracteriser
like,me gusta,aimer
threaten,amenazar,menacer
score,puntaje,but
greatest,mas grande,plus grand
pause,pausa,pause
defend,defender,defendre
cop,policia,flic
authority,autoridad,autorite
rely,confiar,compter sur
couch,sofa,canape
assess,evaluar,evaluer
racial,racial,racial
derive,derivar,deriver
cake,pastel,gâteau
leaf,hoja,feuille
concept,concepto,concept
college,universidad,universite
pant,pantalon,haleter
light,luz,leger
argue,discutir,se disputer
powerful,poderoso,puissant
rare,raro,peu frequent
yellow,amarillo,jaune
hope,esperar,esperer
end,final,finir
off,apagado,desactive
where,donde,où
testimony,testimonio,temoignage
question,pregunta,question
mom,mama,maman
reduction,reduccion,reduction
adequate,adecuado,adequat
guilty,culpable,coupable
apartment,departamento,appartement
agree,estar de acuerdo,je suis d'accord
assistance,asistencia,assistance
relate,relacionar,rapporter
liberal,liberal,liberal
here,aqui,ici
roof,techo,toit
congressional,del congreso,du congrès
employ,emplear,employer
designer,disenador,designer
favor,favor,favoriser
introduction,introduccion,introduction
twin,mellizo,double
previously,previamente,precedemment
shopping,compras,achats
brush,cepillo,brosser
base,base,base
drama,drama,drame
champion,campeon,champion
cry,llorar,pleurer
jet,chorro,jet
restaurant,restaurante,restaurant
comfort,comodidad,confort
genetic,genetico,genetique
satisfaction,satisfaccion,la satisfaction
infection,infeccion,infection
dismiss,descartar,rejeter
breathe,respirar,respirer
fewer,menos,moins
negotiate,negociar,negocier
too,tambien,aussi
river,rio,fleuve
joy,alegria,joie
data,datos,les donnees
via,via,via
object,objeto,objet
represent,representar,representer
useful,util,utile
self,uno mismo,soi
prayer,oracion,prière
impress,impresionar,impressionner
deeply,profundamente,profondement
championship,campeonato,championnat
duty,deber,devoir
religious,religioso,religieux
traditional,tradicional,traditionnel
pound,libra,broyer
corner,esquina,coin
return,regreso,retourner
coast,costa,côte
angle,angulo,angle
easily,facilmente,facilement
oven,horno,four
various,varios,divers
diversity,diversidad,la diversite
bombing,bombardeo,bombardement
person,persona,la personne
film,pelicula,film
golden,dorado,dore
money,dinero,de l'argent
scholar,erudito,savant
competition,competencia,concurrence
crazy,loco,fou
shit,mierda,merde
pitch,terreno de juego,terrain
ignore,ignorar,ignorer
arise,aumentar,surgir
shine,brillar,eclat
activity,actividad,activite
hypothesis,hipotesis,hypothèse
tube,tubo,tube
true,cierto,vrai
winner,ganador,gagnant
approve,aprobar,approuver
pour,verter,verser
setting,ajuste,reglage
deer,ciervo,cerf
photograph,fotografia,photographier
contest,concurso,concours
act,actuar,acte
online,en linea,en ligne
committee,comite,comite
yes,si,oui
reply,respuesta,reponse
up,arriba,en haut
used,usado,utilise
obviously,obviamente,de toute evidence
volume,volumen,le volume
bond,vinculo,lier
alternative,alternativa,alternative
television,television,television
official,oficial,officiel
army,ejercito,armee
barrel,barril,baril
stock,valores,stock
watch,reloj,regardez
court,corte,rechercher
refugee,refugiado,refugie
level,nivel,niveau
age,anos,âge
ghost,fantasma,fantôme
bottle,botella,bouteille
devote,dedicar,consacrer
admire,admirar,admirer
draft,sequia,brouillon
wife,esposa,femme
bend,doblar,pliez
social,social,social
prove,probar,prouver
admission,admision,admission
penalty,multa,peine
beside,junto a,à côte de
leading,principal,premier
though,aunque,mais
competitive,competitivo,competitif
young,joven,jeune
shower,ducha,douche
subsequent,subsecuente,subsequent
industry,industria,industrie
cheese,queso,fromage
busy,ocupado,occupe
above,encima,au dessus
surface,superficie,surface
opposite,opuesto,oppose
weight,peso,poids
have,tener,avoir
install,instalar en pc,installer
join,unirse,rejoindre
garlic,ajo,ail
much,mucho,beaucoup
forest,bosque,forêt
arrangement,arreglo,arrangement
war,guerra,guerre
monitor,monitor,surveiller
gap,brecha,ecart
peace,paz,paix
register,registrarse,s'inscrire
mutual,mutuo,mutuel
add,agregar,ajouter
scheme,esquema,schème
theory,teoria,theorie
follow,seguir,suivre
allow,permitir,autoriser
brother,hermano,frère
detect,detectar,detecter
temporary,temporal,temporaire
recording,grabacion,enregistrement
counter,encimera,contrer
fresh,nuevo,frais
sufficient,suficiente,suffisant
addition,adicion,une addition
parent,padre,parent
pale,palido,pâle
container,envase,recipient
date,fecha,date
ordinary,ordinario,ordinaire
worth,valor,valeur
cover,cubrir,couverture
medicine,medicamento,medicament
sight,vision,vue
testify,testificar,temoigner
proud,orgulloso,fier
least,menos,moins
math,matematicas,math
water,agua,l'eau
belong,pertenecer,appartiennent
ten,diez,dix
provision,provision,disposition
joke,broma,blague
technical,tecnico,technique
terrorism,terrorismo,terrorisme
representation,representacion,representation
coffee,cafe,cafe
appearance,apariencia,apparence
industrial,industrial,industriel
truth,verdad,verite
acid,acido,acide
approximately,aproximadamente,approximativement
trend,tendencia,tendance
area,area,region
gently,suavemente,doucement
rise,aumento,se lever
feature,rasgo,caracteristique
number,numero,numero
global,global,global
fee,tarifa,frais
start,comienzo,demarrer
your,tu,ton
combination,combinacion,combinaison
shelter,refugio,abri
spring,primavera,le printemps
legal,legal,legal
battle,batalla,bataille
rich,rico,riche
knowledge,conocimiento,connaissances
band,banda,bande
people,gente,gens
recruit,recluta,recruter
crop,cultivo,recadrer
flow,flujo,couler
architect,arquitecto,architecte
engine,motor,moteur
statistics,estadisticas,statistiques
reading,leyendo,la lecture
painful,doloroso,douloureux
despite,a pesar de,en depit
and,y,et
mexican,mexicano,mexicain
mass,masa,masse
hunting,caza,chasse
hurt,herir,faire mal
surprise,sorpresa,surprendre
others,otros,les autres
school,colegio,l'ecole
danger,peligro,danger
shout,gritar,crier
interview,entrevista,entretien
junior,junior,junior
wander,vagar,errer
supporter,seguidor,supporter
possibly,posiblemente,peut-être
writer,escritor,ecrivain
grade,calificacion,noter
gentleman,caballero,gentilhomme
fabric,tela,en tissu
eat,come,manger
please,por favor,s'il te plaît
free,gratis,libre
tale,cuento,conte
context,contexto,le contexte
distinguish,distinguir,distinguer
controversy,controversia,controverse
bar,bar,bar
extraordinary,extraordinario,extraordinaire
frequency,frecuencia,la frequence
knock,golpear,frappe
indication,indicacion,indication
prospect,perspectiva,perspective
roughly,aproximadamente,à peu près
original,original,original
channel,canal,canal
hold,sostener,tenir
sue,demandar,poursuivre en justice
compose,componer,composer
include,incluir,inclure
procedure,procedimiento,procedure
my,mi,ma
village,pueblo,village
it,eso,ce
could,pudo,pouvait
error,error,erreur
given,dado,etant donne
tourist,turista,touristique
same,mismo,même
we,nosotros,nous
mystery,misterio,mystère
instrument,instrumento,instrument
accuse,acusar,accuser
yard,yarda,cour
key,llave,cle
clothing,ropa,vêtements
black,negro,le noir
moderate,moderar,moderer
undergo,someterse,subir
other,otro,autre
submit,enviar,nous faire parvenir
throat,garganta,gorge
conviction,conviccion,conviction
imagine,imagina,imaginer
bird,pajaro,oiseau
claim,afirmar,reclamer
coalition,coalicion,coalition
tea,te,the
range,rango,intervalle
yours,tuya,le tiens
care,cuidado,se soucier
mouse,raton,souris
chicken,pollo,poulet
edition,edicion,edition
planet,planeta,planète
brief,breve,bref
left,izquierda,la gauche
load,carga,charge
only,solamente,seulement
drop,soltar,laissez tomber
succeed,triunfar,reussir
state,estado,etat
aids,sida,le sida
makeup,maquillaje,se reconcilier
meal,comida,repas
emergency,emergencia,urgence
ready,listo,prêt
adjust,ajustar,regler
separate,separar,separe
topic,tema,sujet
apply,aplicar,appliquer
ok,ok,d'accord
handle,encargarse de,poignee
title,titulo,titre
minute,minuto,minute
relationship,relacion,relation amoureuse
tell,decir,dire
constitutional,constitucional,constitutionnel
into,dentro,dans
give,dar,donner
peak,cima,de pointe
reporter,reportero,journaliste
dance,danza,danse
prompt,inmediato,rapide
colleague,colega,collègue
intend,intentar,intention de
provide,proveer,apporter
scientist,cientifico,scientifique
field,campo,champ
weak,debil,faible
conversation,conversacion,conversation
imagination,imaginacion,imagination
absorb,absorber,absorber
jail,celda,geôle
transform,transformar,transformer
catch,atrapar,attraper
alter,alterar,modifier
dominate,dominar,dominer
pc,ordenador personal,pc
couple,pareja,coupler
require,exigir,exiger
dispute,disputa,contestation
fund,fondo,fonds
stupid,estupido,stupide
select,seleccione,selectionner
show,show,afficher
room,habitacion,salle
piece,pedazo,pièce
wall,muro,mur
encounter,encuentro,rencontrer
south,sur,sud
charity,caridad,charite
moon,luna,lune
careful,cuidado,prudent
shoulder,hombro,epaule
grandfather,abuelo,grand-père
company,empresa,entreprise
existing,existente,existant
disagree,discrepar,être en desaccord
sudden,repentino,soudain
order,pedido,commande
many,muchos,de nombreux
call,llamada,appel
operation,operacion,operation
elite,elite,elite
illness,enfermedad,maladies
loan,prestamo,prêter
cup,taza,coupe
wine,vino,vin
trouble,problema,inquieter
not,no,ne pas
toy,juguete,jouet
convention,convencion,convention
electricity,electricidad,electricite
false,falso,faux
supposed,supuesto,suppose
speech,habla,discours
political,politico,politique
cast,emitir,jeter
strip,banda,deshabiller
prominent,prominente,important
feed,alimento,alimentation
receive,recibir,recevoir
thirty,treinta,30
failure,falla,echec
space,espacio,espacer
faith,fe,foi
athlete,atleta,athlète
admit,admitir,admettre
workshop,taller,atelier
protect,proteger,proteger
try,tratar,essayer
controversial,polemico,controverse
fit,encajar,ajuster
buyer,comprador,acheteur
israeli,israeli,israelien
housing,alojamiento,logement
east,este,est
entirely,enteramente,entièrement
administration,administracion,administration
troop,tropa,troupe
normal,normal,ordinaire
manager,gerente,directeur
region,region,region
era,era,ère
passenger,pasajero,passager
japanese,japones,japonais
plan,plan,planifier
hundred,centenar,cent
property,propiedad,biens
door,puerta,porte
strategy,estrategia,strategie
may,mayo,mai
from,desde,à partir de
coal,carbon,charbon
dog,perro,chien
all,todos,tous
alliance,alianza,alliance
difficult,dificil,difficile
sometimes,a veces,parfois
spread,untado,propage
author,autor,auteur
sky,cielo,ciel
flower,flor,fleur
operator,operador,operateur
trust,confianza,confiance
signal,senal,signal
reject,rechazar,rejeter
overall,en general,globalement
humor,humor,humour
dozen,docena,douzaine
preserve,preservar,preserver
dark,oscuro,fonce
go,ir,va
husband,esposo,mari
view,vista,voir
sir,senor,monsieur
appeal,apelacion,faire appel
consequence,consecuencia,consequence
constant,constante,constant
wound,herida,blesser
pollution,polucion,la pollution
considerable,considerable,considerable
site,sitio,placer
average,promedio,moyen
stir,revolver,remuer
forth,adelante,en avant
distribute,distribuir,distribuer
winter,invierno,hiver
bring,traer,apporter
engineering,ingenieria,ingenierie
ceo,ceo,pdg
gate,porton,portail
library,biblioteca,bibliothèque
slight,leve,leger
unusual,raro,inhabituel
agreement,convenio,accord
communicate,comunicar,communiquer
nerve,nervio,nerf
friend,amigo,amie
slice,rodaja,tranche
series,serie,series
literary,literario,litteraire
enjoy,disfrutar,prendre plaisir
segment,segmento,segment
rural,rural,rural
club,club,club
slip,deslizar,glisser
decrease,disminucion,diminuer
inside,en el interior,à l'interieur
during,durante,durant
sit,sentarse,asseoir
situation,situacion,situation
mixture,mezcla,melange
cookie,galleta,biscuit
cope,afrontar,se debrouiller
cabin,cabina,cabine
badly,gravemente,mal
crucial,crucial,crucial
explode,explotar,exploser
oil,petroleo,huile
enterprise,empresa,entreprise
arm,brazo,bras
although,aunque,même si
intensity,intensidad,intensite
defense,defensa,la defense
incorporate,incorporar,integrer
learning,aprendiendo,apprentissage
current,actual,courant
game,juego,jeu
hardly,dificilmente,à peine
cross,cruzar,traverser
away,fuera,une facon
aside,aparte,de côte
chip,chip,ebrecher
article,articulo,article
contrast,contraste,contraste
assure,asegurar,assurer
shooting,tiroteo,tournage
fence,valla,clôture
responsible,responsable,responsable
analysis,analisis,analyse
death,muerte,decès
plenty,mucho,beaucoup
wrap,envoltura,envelopper
lady,senora,dame
concerned,preocupado,concerne
different,diferente,different
ethics,etica,ethique
restore,restaurar,restaurer
hide,esconder,cacher
exception,excepcion,exception
african,africano,africain
but,pero,mais
upper,superior,superieur
hotel,hotel,hôtel
block,cuadra,bloquer
nature,naturaleza,nature
sugar,azucar,du sucre
apparent,aparente,apparent
focus,enfocar,se concentrer
while,tiempo,tandis que
museum,museo,musee
bathroom,bano,salle de bain
rapid,rapido,rapide
latter,ultimo,dernier
stop,detener,arrêter
custom,personalizado,douane
ought,deberia,devrait
achievement,logro,reussite
package,paquete,emballer
wait,espere,attendre
folk,gente,populaire
affair,amorio,affaire
concrete,hormigon,beton
address,habla a,adresse
solar,solar,solaire
intense,intenso,intense
swing,balancearse,balancoire
defeat,fracaso,defaite
settle,resolver,regler
silent,silencio,silencieux
uniform,uniforme,uniforme
expectation,expectativa,attente
union,union,syndicat
murder,asesinato,meurtre
confusion,confusion,confusion
solve,resolver,resoudre
violence,violencia,la violence
vacation,vacaciones,vacances
mainly,principalmente,surtout
newspaper,periodico,un journal
account,cuenta,compte
commercial,comercial,commercial
myself,yo mismo,moi même
beneath,bajo,sous
majority,mayoria,majorite
answer,responder,repondre
publisher,editor,editeur
blanket,manta,couverture
federal,federal,federal
ice,hielo,glace
continue,seguir,continuez
equipment,equipo,equipement
laboratory,laboratorio,laboratoire
agenda,agenda,ordre du jour
marry,casar,marier
fundamental,fundamental,fondamental
crisis,crisis,crise
discovery,descubrimiento,decouverte
collective,colectivo,collectif
mr,sres,monsieur
regulate,regular,reglementer
sister,hermana,sœur
estimate,estimar,estimation
sale,rebaja,vendre
hello,hola,bonjour
component,componente,composant
confirm,confirmar,confirmer
cigarette,cigarrillo,cigarette
earn,ganar,gagner
whisper,susurro,chuchotement
along,a lo largo de,le long de
medical,medico,medical
week,semana,semaine
experiment,experimentar,experience
speed,velocidad,vitesse
urban,urbano,urbain
say,decir,dire
weekend,fin de semana,weekend
vary,variar,varier
vital,vital,vital
size,talla,taille
fight,pelear,se battre
relief,alivio,soulagement
professor,profesor,professeur
chairman,presidente,president
iron,planchar,fer à repasser
participate,participar,participer
long,largo,long
trail,rastro,piste
still,todavia,toujours
earth,tierra,la terre
camp,acampar,camp
executive,ejecutivo,executif
vulnerable,vulnerable,vulnerable
express,rapido,express
pool,piscina,bassin
judgment,juicio,jugement
ratio,proporcion,rapport
stuff,cosas,truc
reveal,revelar,faire apparaître
sin,pecado,peche
assistant,asistente,assistant
discrimination,discriminacion,la discrimination
symptom,sintoma,symptôme
extent,grado,le degre
confidence,confianza,confiance
blade,espada,lame
problem,problema,problème
democratic,democratico,democratique
really,de verdad,vraiment
lie,mentir,mensonge
youth,juventud,jeunesse
sound,sonar,sonner
search,busqueda,chercher
fifth,quinto,cinquième
reader,lector,lecteur
cause,porque,causer
tent,carpa,tente
bill,cuenta,facture
climate,clima,climat
everything,todo,tout
orientation,orientacion,orientation
dear,estimado,cher
apple,manzana,pomme
available,disponible,disponible
tree,arbol,arbre
cognitive,cognitivo,cognitif
smooth,suave,lisse
method,metodo,methode
mountain,montana,montagne
emphasis,enfasis,accent
description,descripcion,la description
demand,demanda,demande
settlement,asentamiento,règlement
shoot,disparo,tirer
heavy,pesado,lourd
division,division,division
giant,gigante,geant
advantage,ventaja,avantage
know,saber,connaître
selection,seleccion,selection
defendant,acusado,defendeur
die,morir,mourir
mother,madre,mère
educational,educativo,educatif
long-term,a largo plazo,long terme
dominant,dominante,dominant
interpretation,interpretacion,interpretation
negotiation,negociacion,negociation
poor,pobre,pauvre
whenever,cuando sea,n'importe quand
craft,artesania,artisanat
viewer,espectador,telespectateur
mostly,principalmente,la plupart
empty,vacio,vide
breakfast,desayuno,petit-dejeuner
boom,auge,boom
choose,escoger,choisir
assert,afirmar,affirmer
unknown,desconocido,inconnu
discourse,discurso,discours
counselor,consejero,conseiller
creation,creacion,creation
repeat,repetir,repeter
kick,patear,donner un coup
sink,hundir,evier
port,puerto,port
client,cliente,client
type,escribe,taper
strategic,estrategico,strategique
medium,medio,moyen
absence,ausencia,absence
porch,porche,porche
shell,cascaron,coquille
practice,practica,entraine toi
understand,comprender,comprendre
language,idioma,langue
arrange,arreglar,organiser
president,presidente,president
reason,razon,raison
clock,reloj,l'horloge
trip,viaje,voyage
tough,dificil,difficile
apart,aparte,une part
hill,colina,colline
suddenly,de repente,tout à coup
fun,divertido,amusant
personnel,personal,personnel
boy,chico,garcon
minority,minoria,minorite
purpose,proposito,but
rail,carril,rail
tight,ajustado,serre
eight,ocho,huit
cycle,ciclo,cycle
bet,apuesta,pari
adopt,adoptar,adopter
behavior,conducta,comportement
break,descanso,pause
snap,quebrar,se casser
salary,salario,un salaire
regardless,independientemente,independamment
point,punto,indiquer
establishment,establecimiento,etablissement
fighting,luchando,combat
lesson,leccion,cours
drawing,dibujo,dessin
phase,fase,phase
press,prensa,presse
anyway,de todos modos,en tous cas
etc,etc.,etc
most,mas,plus
ie,es decir,c'est à dire
obligation,obligacion,obligation
opposition,oposicion,opposition
measure,la medida,mesure
together,juntos,ensemble
teach,ensenar,enseigner
sequence,secuencia,sequence
educate,educar,eduquer
product,producto,produit
save,salvar,enregistrer
nine,nueve,neuf
photographer,fotografo,photographe
benefit,beneficio,avantage
single,unico,celibataire
blind,ciego,aveugle
entry,entrada,entree
occupy,ocupar,occuper
however,sin embargo,toutefois
machine,maquina,machine
tablespoon,cucharada,cuilleree à soupe
response,respuesta,reponse
magazine,revista,magazine
of,de,de
target,objetivo,cible
holy,santo,saint
beautiful,hermosa,magnifique
rain,lluvia,pluie
laugh,reir,rire
being,siendo,être
anybody,cualquiera,n'importe qui
primary,primario,primaire
fairly,equitativamente,equitablement
zone,zona,zone
attribute,atributo,attribut
she,ella,elle
population,poblacion,population
typical,tipico,typique
nearly,por poco,presque
headline,titular,gros titre
restriction,restriccion,restriction
measurement,medicion,la mesure
stand,pararse,supporter
cable,cable,câble
these,estas,celles-ci
important,importante,important
environmental,ambiental,environnemental
scope,alcance,portee
consciousness,conciencia,conscience
fifteen,quince,quinze
rough,aspero,rugueux
whether,ya sea,qu'il s'agisse
knee,rodilla,le genou
consensus,consenso,consensus
lots,un monton,lot
historic,historico,historique
ocean,oceano,ocean
central,central,central
glance,mirada,coup d'œil
pie,tarta,tarte
day,dia,journee
chemical,quimico,chimique
regional,regional,regional
occupation,ocupacion,occupation
read,leer,lire
man,hombre,homme
estate,inmuebles,domaine
chocolate,chocolate,chocolat
or,o,ou
dry,seco,secher
soccer,futbol,football
hearing,escuchando,audience
lung,pulmon,poumon
management,administracion,le management
dress,vestido,robe
entire,completo,tout
summer,el verano,l'ete
feeling,sentimiento,sentiment
research,investigacion,recherche
motor,motor,moteur
technology,tecnologia,la technologie
passion,pasion,passion
scenario,guion,scenario
drag,arrastrar,traîne
reservation,reserva,reservation
mm-hmm,mm-hmm,mm-hmm
essential,esencial,essentiel
differ,diferir de,differer
speak,hablar,parlez
wing,ala,aile
video,video,video
competitor,competidor,concurrent
glad,contento,content
mine,mia,mien
license,licencia,licence
mind,mente,esprit
strengthen,fortalecer,renforcer
medication,medicamento,des medicaments
kill,matar,tuer
extend,ampliar,se deployer
for,por,pour
device,dispositivo,appareil
community,comunidad,communaute
brain,cerebro,cerveau
culture,cultura,culture
brown,marron,marron
cluster,grupo,groupe
enemy,enemigo,ennemi
food,comida,aliments
revenue,ingresos,revenu
emphasize,enfatizar,mettre l'accent sur
common,comun,commun
jury,jurado,jury
guard,guardia,garder
throughout,a lo largo de,tout au long de
their,sus,leur
involvement,intervencion,participation
train,entrenar,former
doctor,medico,medecin
helicopter,helicoptero,helicoptère
float,flotador,flotter
place,lugar,lieu
bag,bolsa,sac
bedroom,habitacion,chambre à coucher
city,ciudad,ville
bottom,fondo,bas
print,imprimir,impression
flat,departamento,appartement
butter,manteca,beurre
chef,cocinero,chef
side,lado,côte
career,carrera profesional,carrière
fire,fuego,feu
gesture,gesto,geste
publicly,en publico,publiquement
reflection,reflexion,reflexion
escape,escapar,echapper
thus,por lo tanto,donc
such,tal,tel
legislation,legislacion,legislation
role,papel,rôle
reduce,reducir,reduire
flag,bandera,drapeau
literally,literalmente,au sens propre
internet,internet,l'internet
incentive,incentivo,incitation
protection,proteccion,protection
scale,escala,escalader
paper,papel,papier
potentially,potencialmente,potentiellement
special,especial,special
top,cima,haut
lap,vuelta,genoux
dust,polvo,poussière
complete,completo,achevee
will,voluntad,volonte
indian,indio,indien
irish,irlandesa,irlandais
meaning,sentido,signification
about,sobre,sur
credit,credito,credit
nomination,nominacion,nomination
transition,transicion,transition
valley,valle,vallee
basketball,baloncesto,basket-ball
capacity,capacidad,capacite
grocery,tienda de comestibles,epicerie
actor,actor,acteur
satellite,satelite,satellite
editor,editor,editeur
mouth,boca,bouche
tooth,diente,dent
might,puede que,pourrait
delivery,entrega,livraison
avoid,evitar,eviter
seed,semilla,planter
concentrate,concentrado,concentrer
conventional,convencional,conventionnel
historian,historiador,historien
wooden,de madera,en bois
tie,corbata,nouer
mall,centro comercial,galerie marchande
increased,aumentado,augmente
over,sobre,plus de
invite,invitacion,inviter
funeral,funeral,funeraire
seat,asiento,siège
survey,encuesta,enquête
none,ninguna,rien
religion,religion,religion
spin,girar,tourner
formal,formal,formel
thank,gracias,remercier
democracy,democracia,la democratie
darkness,oscuridad,tenèbres
actual,real,reel
correspondent,corresponsal,correspondant
good,bien,bien
minister,ministro,ministre
desk,escritorio,pupitre
gene,gene,gène
pregnant,embarazada,enceinte
refuse,rehusar,refuser
happen,suceder,arriver
employee,empleado,employe
clothes,ropa,vêtements
active,activo,actif
pet,mascota,animal de compagnie
versus,versus,contre
slowly,lentamente,lentement
opinion,opinion,avis
quit,dejar,quitter
hair,cabello,cheveu
desert,desierto,desert
animal,animal,animal
use,utilizar,utiliser
reform,reforma,reforme
willing,dispuesto,dispose
perhaps,quizas,peut-être
blame,culpar,faire des reproches
pile,pila,pile
ticket,billete,billet
effective,eficaz,efficace
heat,calor,chauffer
general,general,general
else,demas,autre
mrs,senora,mme
low,bajo,meugler
expert,experto,expert
tongue,lengua,langue
dependent,dependiente,dependant
convince,convencer,convaincre
technique,tecnica,technique
whole,entero,ensemble
talent,talento,talent
remain,permanecer,rester
interaction,interaccion,interaction
following,siguiente,suivant
profile,perfil,profil
human,humano,humain
seek,buscar,chercher
particular,especial,particulier
shadow,sombra,ombre
able,poder,pouvoir
script,texto,scenario
fully,completamente,pleinement
beyond,mas alla de,au-delà
panel,panel,panneau
out,fuera,en dehors
sensitive,sensible,sensible
put,poner,mettre
steel,acero,acier
orange,naranja,orange
totally,totalmente,totalement
document,documento,document
tend,tender,tendre
cap,gorra,casquette
bread,pan,pain
basis,base,base
membership,afiliacion,adhesion
box,caja,boîte
professional,profesional,professionnel
civil,civil,civil
increase,aumento,augmenter
whom,quien,qui
serve,atender,servir
economic,economico,economique
letter,letra,lettre
league,liga,ligue
straight,derecho,droit
significant,significativo,important
occur,ocurrir,se produire
activist,activista,activiste
trade,comercio,commerce
typically,tipicamente,typiquement
pace,ritmo,rythme
honest,honesto,honnête
justice,justicia,justice
utility,utilidad,utilitaire
thought,pensamiento,pensait
weigh,pesar,peser
firm,firma,solidifier
shift,cambio,changement
childhood,infancia,enfance
bad,malo,mal
tournament,torneo,tournoi
explore,explorar,explorer
nonetheless,sin embargo,neanmoins
bake,hornear,cuire
sign,firmar,signer
pure,puro,pur
multiple,multiple,plusieurs
national,nacional,nationale
asleep,dormido,endormi
contribution,contribucion,contribution
elderly,anciano,âge
new,nuevo,nouveau
rub,frotar,frotter
edge,borde,bord
therapy,terapia,therapie
lake,lago,lac
plane,plano,avion
vast,vasto,vaste
set,colocar,ensemble
menu,menu,menu
spiritual,espiritual,spirituel
terror,terror,la terreur
radio,radio,radio
ask,pedir,interroger
soldier,soldado,soldat
merely,simplemente,seulement
shoe,zapato,chaussure
examination,examen,examen
study,estudio,etude
principle,principio,principe
universe,universo,univers
