a,un,une
hang,colgar,pendre
happen,suceder,arriver
happy,contento,content
hard,duro,dur
hardly,difícilmente,à peine
hat,sombrero,chapeau
hate,odio,détester
have,tener,avoir
he,él,il
head,cabeza,diriger
headline,titular,gros titre
headquarters,sede,quartier général
health,salud,santé
healthy,saludable,sain
hear,escuchar,écouter
hearing,escuchando,audience
heart,corazón,cœur
heat,calor,chauffer
heaven,cielo,paradis
heavily,fuertemente,fortement
heavy,pesado,lourd
heel,tacón,talon
height,altura,la taille
helicopter,helicóptero,hélicoptère
hell,infierno,enfer
hello,hola,bonjour
help,ayuda,aider
helpful,servicial,utile
her,su,son
here,aquí,ici
heritage,herencia,patrimoine
hero,héroe,héros
herself,sí misma,se
hey,oye,hé
hi,hola,salut
hide,esconder,cacher
high,elevado,haut
highlight,destacar,surligner
highly,muy,très
highway,carretera,autoroute
hill,colina,colline
him,él,lui
himself,él mismo,lui-même
hip,cadera,hanche
hire,contratar,embaucher
his,su,le sien
historian,historiador,historien
historic,histórico,historique
historical,histórico,historique
history,historia,l'histoire
hit,golpear,frapper
hold,sostener,tenir
hole,agujero,trou
holiday,fiesta,vacances
holy,santo,saint
home,casa,domicile
homeless,vagabundo,sans-abri
honest,honesto,honnête
honey,cariño,mon chéri
honor,honor,honneur
hope,esperar,espérer
horizon,horizonte,horizon
horror,horror,horreur
horse,caballo,cheval
hospital,hospital,hôpital
host,anfitrión,héberger
hot,caliente,chaud
hotel,hotel,hôtel
hour,hora,heure
house,casa,loger
household,familiar,ménage
housing,alojamiento,logement
how,cómo,comment
however,sin embargo,toutefois
huge,enorme,énorme
human,humano,humain
humor,humor,humour
hundred,centenar,cent
hungry,hambriento,faim
hunter,cazador,chasseur
hunting,caza,chasse
hurt,herir,faire mal
husband,esposo,mari
hypothesis,hipótesis,hypothèse
i,yo,je
ice,hielo,glace
idea,idea,idée
ideal,ideal,idéal
identification,identificación,identification
identify,identificar,identifier
identity,identidad,identité
ie,es decir,c'est à dire
if,si,si
ignore,ignorar,ignorer
ill,enfermo,malade
illegal,ilegal,illégal
illness,enfermedad,maladies
illustrate,ilustrar,illustrer
image,imagen,image
imagination,imaginación,imagination
imagine,imagina,imaginer
immediate,inmediato,immédiat
immediately,inmediatamente,immédiatement
immigrant,inmigrante,immigrant
immigration,inmigración,immigration
impact,impacto,impacter
implement,implementar,mettre en œuvre
implication,implicación,implication
imply,implicar,impliquer
importance,importancia,importance
important,importante,important
impose,imponer,imposer
impossible,imposible,impossible
impress,impresionar,impressionner
impression,impresión,impression
impressive,impresionante,impressionnant
improve,mejorar,améliorer
improvement,mejora,amélioration
in,en,dans
incentive,incentivo,incitation
incident,incidente,incident
include,incluir,inclure
including,incluso,y compris
income,ingreso,le revenu
incorporate,incorporar,intégrer
increase,aumento,augmenter
increased,aumentado,augmenté
increasing,creciente,en augmentant
increasingly,cada vez más,de plus en plus
incredible,increíble,incroyable
indeed,por supuesto,en effet
independence,independencia,indépendance
independent,independiente,indépendant
index,índice,indice
indian,indio,indien
indicate,indicar,indiquer
indication,indicación,indication
individual,individual,individuel
industrial,industrial,industriel
industry,industria,industrie
infant,infantil,bébé
infection,infección,infection
inflation,inflación,inflation
influence,influencia,influence
inform,informar,informer
information,información,information
ingredient,ingrediente,ingrédient
initial,inicial,initiale
initially,inicialmente,initialement
initiative,iniciativa,initiative
injury,lesión,blessure
inner,interno,intérieur
innocent,inocente,innocent
inquiry,consulta,enquête
inside,en el interior,à l'intérieur
insight,visión,aperçu
insist,insistir,insister
inspire,inspirar,inspirer
install,instalar en pc,installer
instance,ejemplo,exemple
instead,en lugar de,au lieu
institution,institución,institution
institutional,institucional,institutionnel
instruction,instrucción,instruction
instructor,instructor,instructeur
instrument,instrumento,instrument
insurance,seguro,assurance
intellectual,intelectual,intellectuel
intelligence,inteligencia,intelligence
intend,intentar,intention de
intense,intenso,intense
intensity,intensidad,intensité
intention,intención,intention
interaction,interacción,interaction
interest,interesar,intérêt
interested,interesado,intéressé
interesting,interesante,intéressant
internal,interno,interne
international,internacional,international
internet,internet,l'internet
interpret,interpretar,interpréter
interpretation,interpretación,interprétation
intervention,intervención,intervention
interview,entrevista,entretien
into,dentro,dans
introduce,introducir,présenter
introduction,introducción,introduction
invasion,invasión,invasion
invest,invertir,investir
investigate,investigar,enquêter
investigation,investigación,enquête
investigator,investigador,enquêteur
investment,inversión,investissement
investor,inversor,investisseur
invite,invitación,inviter
involve,involucrar,impliquer
involved,involucrado,impliqué
involvement,intervención,participation
iraqi,iraquí,irakien
irish,irlandesa,irlandais
iron,planchar,fer à repasser
islamic,islámico,islamique
island,isla,île
israeli,israelí,israélien
issue,asunto,publier
it,eso,ce
italian,italiano,italien
item,ít,objet
its,su,son
itself,sí mismo,lui-même
jacket,chaqueta,veste
jail,celda,geôle
japanese,japonés,japonais
jet,chorro,jet
jew,judío,juif
jewish,judío,juif
job,trabajo,travail
join,unirse,rejoindre
joint,articulación,découper
joke,broma,blague
journal,diario,journal
journalist,periodista,journaliste
journey,viaje,voyage
joy,alegría,joie
judge,juez,juge
judgment,juicio,jugement
juice,jugo,jus
jump,salto,saut
junior,júnior,junior
jury,jurado,jury
just,sólo,juste
justice,justicia,justice
justify,justificar,justifier
keep,mantenerse,garder
key,llave,clé
kick,patear,donner un coup
kid,niño,enfant
kill,matar,tuer
killer,asesino,tueur
killing,asesinato,meurtre
kind,tipo,type
king,rey,roi
kiss,beso,embrasser
kitchen,cocina,cuisine
knee,rodilla,le genou
knife,cuchillo,couteau
knock,golpear,frappe
know,saber,connaître
knowledge,conocimiento,connaissances
lab,laboratorio,laboratoire
label,etiqueta,étiqueter
labor,labor,la main d'oeuvre
laboratory,laboratorio,laboratoire
lack,carecer,manque
lady,señora,dame
lake,lago,lac
land,tierra,terre
landscape,paisaje,paysage
language,idioma,langue
lap,vuelta,genoux
large,grande,grande
largely,en gran parte,en grande partie
last,último,dernier
late,tarde,en retard
later,luego,plus tard
latin,latín,latin
latter,último,dernier
laugh,reír,rire
launch,lanzamiento,lancement
law,ley,droit
lawn,césped,pelouse
lawsuit,demanda judicial,procès
lawyer,abogado,avocat
lay,poner,allonger
layer,capa,couche
lead,dirigir,mener
leader,líder,chef
leadership,liderazgo,leadership
leading,principal,premier
leaf,hoja,feuille
league,liga,ligue
lean,inclinarse,mince
learn,aprender,apprendre
learning,aprendiendo,apprentissage
least,menos,moins
leather,cuero,cuir
leave,salir,partir
left,izquierda,la gauche
leg,pierna,jambe
legacy,legado,héritage
legal,legal,légal
legend,leyenda,légende
legislation,legislación,législation
legitimate,legítimo,légitime
lemon,limón,citron
length,longitud,longueur
less,menos,moins
lesson,lección,cours
let,dejar,laisser
letter,letra,lettre
level,nivel,niveau
liberal,liberal,libéral
library,biblioteca,bibliothèque
license,licencia,licence
lie,mentir,mensonge
life,la vida,la vie
lifestyle,estilo de vida,mode de vie
lifetime,toda la vida,durée de vie
lift,elevar,ascenseur
light,luz,léger
like,me gusta,aimer
likely,probable,probable
limit,límite,limite
limitation,limitación,limitation
limited,limitado,limité
line,línea,ligne
link,enlace,lien
lip,labio,lèvre
list,lista,liste
listen,escucha,ecoutez
literally,literalmente,au sens propre
literary,literario,littéraire
literature,literatura,littérature
little,poco,peu
live,en vivo,habitent
living,viviendo,vivant
load,carga,charge
loan,préstamo,prêter
local,local,local
locate,localizar,localiser
location,ubicación,lieu
lock,cerrar con llave,fermer à clé
long,largo,long
long-term,a largo plazo,long terme
look,mira,voir
loose,suelto,ample
lose,perder,perdre
loss,pérdida,perte
lost,perdió,perdu
lot,lote,parcelle
lots,un montón,lot
loud,ruidoso,fort
love,amor,amour
lovely,encantador,beau
lover,amante,amoureux
low,bajo,meugler
lower,más bajo,plus bas
luck,suerte,chance
lucky,afortunado,chanceux
lunch,comida,déjeuner
lung,pulmón,poumon
machine,máquina,machine
mad,enojado,fou
magazine,revista,magazine
mail,correo,courrier
main,principal,principale
mainly,principalmente,surtout
maintain,mantener,maintenir
maintenance,mantenimiento,maintenance
major,importante,majeur
majority,mayoria,majorité
make,hacer,fabriquer
maker,fabricante,fabricant
makeup,maquillaje,se réconcilier
male,masculino,masculin
mall,centro comercial,galerie marchande
man,hombre,homme
manage,administrar,faire en sorte
management,administración,le management
manager,gerente,directeur
manner,conducta,manière
manufacturer,fabricante,fabricant
manufacturing,fabricación,fabrication
many,muchos,de nombreux
map,mapa,carte
margin,margen,marge
mark,marca,marque
market,mercado,marché
marketing,márketing,commercialisation
marriage,matrimonio,mariage
married,casado,marié
marry,casar,marier
mask,máscara,masquer
mass,masa,masse
massive,masivo,massif
master,maestro,maître
match,partido,rencontre
material,material,matériel
math,matemáticas,math
matter,importar,question
may,mayo,mai
maybe,quizás,peut être
mayor,alcalde,maire
me,me,moi
meal,comida,repas
mean,significar,signifier
meaning,sentido,signification
meanwhile,mientras tanto,entre-temps
measure,la medida,mesure
measurement,medición,la mesure
meat,carne,viande
mechanism,mecanismo,mécanisme
media,medios de comunicación,médias
medical,médico,médical
medication,medicamento,des médicaments
medicine,medicamento,médicament
medium,medio,moyen
meet,reunirse,rencontrer
meeting,reunión,rencontre
member,miembro,membre
membership,afiliación,adhésion
memory,memoria,mémoire
mental,mental,mental
mention,mencionar,mention
menu,menú,menu
mere,mero,simple
merely,simplemente,seulement
mess,lío,désordre
message,mensaje,un message
metal,metal,métal
meter,metro,mètre
method,método,méthode
mexican,mexicano,mexicain
middle,medio,milieu
might,puede que,pourrait
military,militar,militaire
milk,leche,lait
million,millón,million
mind,mente,esprit
mine,mia,mien
minister,ministro,ministre
minor,menor,mineur
minority,minoría,minorité
minute,minuto,minute
miracle,milagro,miracle
mirror,espejo,miroiter
miss,extrañar,mademoiselle
missile,misil,missile
mission,misión,mission
mistake,error,erreur
mix,mezcla,mélanger
mixture,mezcla,mélange
mm-hmm,mm-hmm,mm-hmm
mode,modo,mode
model,modelo,maquette
moderate,moderar,modérer
modern,moderno,moderne
modest,modesto,modeste
mom,mamá,maman
moment,momento,moment
money,dinero,de l'argent
monitor,monitor,surveiller
month,mes,mois
mood,estado animico,humeur
moon,luna,lune
moral,moral,moral
more,más,suite
moreover,es más,en outre
morning,mañana,matin
mortgage,hipoteca,hypothèque
most,más,plus
mostly,principalmente,la plupart
mother,madre,mère
motion,movimiento,mouvement
motivation,motivación,motivation
motor,motor,moteur
mount,montar,monter
mountain,montaña,montagne
mouse,ratón,souris
mouth,boca,bouche
move,moverse,bouge toi
movement,movimiento,mouvement
movie,película,film
mr,sres,monsieur
mrs,señora,mme
ms,milisegundo,mme
much,mucho,beaucoup
multiple,múltiple,plusieurs
murder,asesinato,meurtre
muscle,músculo,muscle
museum,museo,musée
music,música,la musique
musical,musical,musical
musician,músico,musicien
muslim,musulmán,musulman
must,deber,devoir
mutual,mutuo,mutuel
my,mi,ma
myself,yo mismo,moi même
mystery,misterio,mystère
myth,mito,mythe
naked,desnudo,nu
name,nombre,nom
narrative,narrativa,récit
narrow,estrecho,étroit
nation,nación,nation
national,nacional,nationale
native,nativo,originaire de
natural,natural,naturel
naturally,naturalmente,naturellement
nature,naturaleza,nature
near,cerca,près
nearby,cercano,proche
nearly,por poco,presque
necessarily,necesariamente,nécessairement
necessary,necesario,nécessaire
neck,cuello,cou
need,necesitar,besoin
negative,negativo,négatif
negotiate,negociar,négocier
negotiation,negociación,négociation
neighbor,vecino,voisine
neighborhood,vecindario,quartier
neither,ninguno de los dos,non plus
nerve,nervio,nerf
nervous,nervioso,nerveux
net,neto,rapporter
network,la red,réseau
never,nunca,jamais
nevertheless,sin embargo,néanmoins
new,nuevo,nouveau
newly,recién,nouvellement
news,noticias,nouvelles
newspaper,periódico,un journal
next,próximo,suivant
nice,agradable,agréable
night,noche,nuit
nine,nueve,neuf
no,no,non
nobody,nadie,personne
nod,asentir,hocher la tête
noise,ruido,bruit
nomination,nominación,nomination
none,ninguna,rien
nonetheless,sin embargo,néanmoins
nor,ni,ni
normal,normal,ordinaire
normally,normalmente,en temps normal
north,norte,nord
northern,del norte,nord
nose,nariz,nez
not,no,ne pas
note,nota,remarque
nothing,nada,rien
notice,aviso,remarquer
notion,noción,notion
novel,novela,roman
now,ahora,à présent
nowhere,en ningún lugar,nulle part
n't,nuevo testamento,nt
nuclear,nuclear,nucléaire
number,número,numéro
numerous,numeroso,nombreux
nurse,enfermera,infirmière
nut,tuerca,noix
object,objeto,objet
objective,objetivo,objectif
obligation,obligación,obligation
observation,observación,observation
observe,observar,observer
observer,observador,observateur
obtain,obtener,obtenir
obvious,obvio,évident
obviously,obviamente,de toute évidence
occasion,ocasión,occasion
occasionally,de vez en cuando,parfois
occupation,ocupación,occupation
occupy,ocupar,occuper
occur,ocurrir,se produire
ocean,oceano,océan
odd,impar,impair
odds,impares,chances
of,de,de
off,apagado,désactivé
offense,ofensa,infraction
offensive,ofensiva,offensive
offer,oferta,offrir
office,oficina,bureau
officer,oficial,officier
official,oficial,officiel
often,con frecuencia,souvent
oh,oh,oh
oil,petróleo,huile
ok,ok,d'accord
okay,bueno,d'accord
old,viejo,vieux
olympic,olímpico,olympique
on,en,au
once,una vez,une fois que
one,una,une
ongoing,en curso,en cours
onion,cebolla,oignon
online,en línea,en ligne
only,solamente,seulement
onto,sobre,sur
open,abierto,ouvrir
opening,apertura,ouverture
operate,funcionar,fonctionner
operating,operando,en fonctionnement
operation,operación,opération
operator,operador,opérateur
opinion,opinión,avis
opponent,adversario,adversaire
opportunity,oportunidad,opportunité
oppose,oponerse a,s'opposer
opposite,opuesto,opposé
opposition,oposición,opposition
option,opción,option
or,o,ou
orange,naranja,orange
order,pedido,commande
ordinary,ordinario,ordinaire
organic,orgánico,biologique
organization,organización,organisation
organize,organizar,organiser
orientation,orientación,orientation
origin,origen,origine
original,original,original
originally,originalmente,initialement
other,otro,autre
others,otros,les autres
otherwise,de lo contrario,par ailleurs
ought,debería,devrait
our,nuestro,notre
ourselves,nosotros mismos,nous-mêmes
out,fuera,en dehors
outcome,salir,résultat
outside,fuera de,à l'extérieur
oven,horno,four
over,sobre,plus de
overall,en general,globalement
overcome,superar,surmonter
overlook,pasar por alto,négliger
owe,deber,devoir
own,propio,posséder
owner,dueño,propriétaire
pace,ritmo,rythme
pack,paquete,pack
package,paquete,emballer
page,página,page
pain,dolor,douleur
painful,doloroso,douloureux
paint,pintura,peinture
painter,pintor,peintre
painting,cuadro,la peinture
pair,par,paire
pale,pálido,pâle
palestinian,palestino,palestinien
palm,palma,paume
pan,sartén,poêle
panel,panel,panneau
pant,pantalón,haleter
paper,papel,papier
parent,padre,parent
park,parque,parc
parking,estacionamiento,parking
part,parte,partie
participant,partícipe,participant
participate,participar,participer
participation,participación,participation
particular,especial,particulier
particularly,particularmente,particulièrement
partly,parcialmente,partiellement
partner,compañero,partenaire
partnership,camaradería,partenariat
party,fiesta,fête
pass,pasar,passe
passage,paso,passage
passenger,pasajero,passager
passion,pasión,passion
past,pasado,passé
patch,parche,pièce
path,sendero,chemin
patient,paciente,patient
pattern,patrón,modèle
pause,pausa,pause
pay,pagar,payer
payment,pago,paiement
pc,ordenador personal,pc
peace,paz,paix
peak,cima,de pointe
peer,mirar,pair
penalty,multa,peine
people,gente,gens
pepper,pimienta,poivre
per,por,par
perceive,percibir,apercevoir
percentage,porcentaje,pourcentage
perception,percepción,la perception
perfect,perfecto,parfait
perfectly,perfectamente,à la perfection
perform,llevar a cabo,effectuer
performance,rendimiento,performance
perhaps,quizás,peut-être
period,período,point final
permanent,permanente,permanent
permission,permiso,autorisation
permit,permiso,permis
person,persona,la personne
personal,personal,personnel
personality,personalidad,personnalité
personally,personalmente,personnellement
personnel,personal,personnel
perspective,perspectiva,la perspective
persuade,persuadir,persuader
pet,mascota,animal de compagnie
phase,fase,phase
phenomenon,fenómeno,phénomène
philosophy,filosofía,philosophie
phone,teléfono,téléphoner
photo,foto,photo
photograph,fotografía,photographier
photographer,fotógrafo,photographe
phrase,frase,phrase
physical,físico,physique
physically,físicamente,physiquement
physician,médico,médecin
piano,piano,piano
pick,elegir,prendre
picture,imagen,image
pie,tarta,tarte
piece,pedazo,pièce
pile,pila,pile
pilot,piloto,pilote
pine,pino,pin
pink,rosa,rose
pipe,tubo,tuyau
pitch,terreno de juego,terrain
place,lugar,lieu
plan,plan,planifier
plane,plano,avion
planet,planeta,planète
planning,planificación,planification
plant,planta,plante
plastic,el plastico,plastique
plate,plato,assiette
platform,plataforma,plate-forme
play,jugar,jouer
player,jugador,joueur
please,por favor,s'il te plaît
pleasure,placer,plaisir
plenty,mucho,beaucoup
plot,trama,parcelle
plus,más,plus
pm,pm,pm
pocket,bolsillo,poche
poem,poema,poème
poet,poeta,poète
poetry,poesía,poésie
point,punto,indiquer
pole,polo,pôle
police,policía,police
policy,política,politique
political,político,politique
politically,políticamente,politiquement
politician,político,politicien
politics,política,politique
poll,encuesta,sondage
pollution,polución,la pollution
pool,piscina,bassin
poor,pobre,pauvre
pop,música pop,pop
popular,popular,populaire
population,población,population
porch,porche,porche
port,puerto,port
portion,parte,portion
portrait,retrato,portrait
portray,retratar,représenter
pose,pose,pose
position,posición,position
positive,positivo,positif
possess,poseer,posséder
possibility,posibilidad,possibilité
possible,posible,possible
possibly,posiblemente,peut-être
post,correo,publier
pot,maceta,pot
potato,papa,patate
potential,potencial,potentiel
potentially,potencialmente,potentiellement
pound,libra,broyer
pour,verter,verser
poverty,pobreza,la pauvreté
powder,polvo,poudre
power,energía,puissance
powerful,poderoso,puissant
practical,práctico,pratique
practice,práctica,entraine toi
pray,rezar,prier
prayer,oración,prière
precisely,precisamente,précisément
predict,predecir,prédire
prefer,preferir,préférer
preference,preferencia,préférence
pregnancy,el embarazo,grossesse
pregnant,embarazada,enceinte
preparation,preparación,préparation
prepare,preparar,préparer
prescription,prescripción,ordonnance
presence,presencia,présence
present,regalo,cadeau
presentation,presentación,présentation
preserve,preservar,préserver
president,presidente,président
presidential,presidencial,présidentiel
press,prensa,presse
pressure,presión,pression
pretend,pretender,faire semblant
pretty,bonito,jolie
prevent,evitar,empêcher
previous,anterior,précédent
previously,previamente,précédemment
price,precio,le prix
pride,orgullo,orgueil
priest,sacerdote,prêtre
primarily,ante todo,principalement
primary,primario,primaire
prime,principal,premier
principal,principal,principal
principle,principio,principe
print,imprimir,impression
prior,previo,avant
priority,prioridad,priorité
prison,prisión,prison
prisoner,prisionero,prisonnier
privacy,intimidad,intimité
private,privado,privé
probably,probablemente,probablement
problem,problema,problème
procedure,procedimiento,procédure
proceed,continuar,procéder
process,proceso,traiter
produce,produce,produire
producer,productor,producteur
product,producto,produit
production,producción,production
profession,profesión,profession
professional,profesional,professionnel
professor,profesor,professeur
profile,perfil,profil
profit,ganancia,profit
program,programa,programme
progress,progreso,le progrès
project,proyecto,projet
prominent,prominente,important
promise,promesa,promettre
promote,promover,promouvoir
prompt,inmediato,rapide
proof,prueba,preuve
proper,adecuado,correct
properly,adecuadamente,correctement
property,propiedad,biens
proportion,proporción,proportion
proposal,propuesta,proposition
propose,proponer,proposer
proposed,propuesto,proposé
prosecutor,fiscal,procureur
prospect,perspectiva,perspective
protect,proteger,protéger
protection,proteccion,protection
protein,proteína,protéine
protest,protesta,manifestation
proud,orgulloso,fier
prove,probar,prouver
provide,proveer,apporter
provider,proveedor,fournisseur
province,provincia,province
provision,provisión,disposition
psychological,psicológico,psychologique
psychologist,psicólogo,psychologue
psychology,psicología,psychologie
public,público,publique
publication,publicación,publication
publicly,en público,publiquement
publish,publicar,publier
publisher,editor,éditeur
pull,jalar,tirer
punishment,castigo,châtiment
purchase,compra,achat
pure,puro,pur
purpose,propósito,but
pursue,perseguir,poursuivre
push,empujar,pousser
put,poner,mettre
qualify,calificar,qualifier
quality,calidad,qualité
quarter,trimestre,trimestre
quarterback,jugador de ataque,stratège
question,pregunta,question
quick,rápido,rapide
quickly,rápidamente,rapidement
quiet,tranquilo,silencieux
quietly,en silencio,tranquillement
quit,dejar,quitter
quite,bastante,assez
quote,cita,citation
race,raza,course
racial,racial,racial
radical,radical,radical
radio,radio,radio
rail,carril,rail
rain,lluvia,pluie
raise,aumentar,élever
range,rango,intervalle
rank,rango,rang
rapid,rápido,rapide
rapidly,rápidamente,rapidement
rare,raro,peu fréquent
rarely,casi nunca,rarement
rate,calificar,taux
rather,bastante,plutôt
rating,clasificación,notation
ratio,proporción,rapport
raw,crudo,cru
reach,alcanzar,atteindre
react,reaccionar,réagir
reaction,reacción,réaction
read,leer,lire
reader,lector,lecteur
reading,leyendo,la lecture
ready,listo,prêt
real,verdadero,réel
reality,realidad,réalité
realize,darse cuenta de,prendre conscience de
really,de verdad,vraiment
reason,razón,raison
reasonable,razonable,raisonnable
recall,recordar,rappeler
receive,recibir,recevoir
recent,reciente,récent
recently,hace poco,récemment
recipe,receta,recette
recognition,reconocimiento,reconnaissance
recognize,reconocer,reconnaître
recommend,recomendar,recommander
recommendation,recomendación,recommandation
record,registro,disque
recording,grabación,enregistrement
recover,recuperar,se remettre
recovery,recuperación,récupération
recruit,recluta,recruter
red,rojo,rouge
reduce,reducir,réduire
reduction,reducción,réduction
refer,referir,référer
reference,referencia,référence
reflect,reflejar,réfléchir
reflection,reflexión,réflexion
reform,reforma,réforme
refugee,refugiado,réfugié
refuse,rehusar,refuser
regard,respecto,qui concerne
regarding,con respecto a,en ce qui concerne
regardless,independientemente,indépendamment
regime,régimen,régime
region,región,région
regional,regional,régional
register,registrarse,s'inscrire
regular,regular,régulier
regularly,regularmente,régulièrement
regulate,regular,réglementer
regulation,regulación,régulation
reinforce,reforzarse,renforcer
reject,rechazar,rejeter
relate,relacionar,rapporter
relation,relación,relation
relationship,relación,relation amoureuse
relative,relativo,relatif
relatively,relativamente,relativement
relax,relajarse,détendez-vous
release,liberar,libération
relevant,pertinente,pertinent
relief,alivio,soulagement
religion,religión,religion
religious,religioso,religieux
rely,confiar,compter sur
remain,permanecer,rester
remaining,restante,restant
remarkable,notable,remarquable
remember,recordar,rappelles toi
remind,recordar,rappeler
remote,remoto,à distance
remove,retirar,retirer
repeat,repetir,répéter
repeatedly,repetidamente,à plusieurs reprises
replace,reemplazar,remplacer
reply,respuesta,réponse
report,informe,rapport
reporter,reportero,journaliste
represent,representar,représenter
representation,representación,représentation
representative,representante,représentant
republican,republicano,républicain
reputation,reputación,réputation
request,solicitud,demande
require,exigir,exiger
requirement,requisito,exigence
research,investigación,recherche
researcher,investigador,chercheur
resemble,asemejarse a,ressembler
reservation,reserva,réservation
resident,residente,résident
resist,resistirse,résister
resistance,resistencia,la résistance
resolution,resolución,résolution
resolve,resolver,résoudre
resort,recurso,recours
resource,recurso,ressource
respect,respeto,le respect
respond,responder,répondre
respondent,demandado,intimé
response,respuesta,réponse
responsibility,responsabilidad,responsabilité
responsible,responsable,responsable
rest,descanso,du repos
restaurant,restaurante,restaurant
restore,restaurar,restaurer
restriction,restricción,restriction
result,resultado,résultat
retain,conservar,conserver
retire,retirarse,se retirer
retirement,jubilación,retraite
return,regreso,retourner
reveal,revelar,faire apparaître
revenue,ingresos,revenu
review,revisión,la revue
revolution,revolución,révolution
rhythm,ritmo,rythme
rice,arroz,riz
rich,rico,riche
rid,deshacerse,débarrasser
ride,paseo,conduire
rifle,rifle,fusil
right,correcto,droit
ring,anillo,bague
rise,aumento,se lever
risk,riesgo,risque
river,río,fleuve
road,camino,route
rock,rock,roche
role,papel,rôle
roll,rollo,rouler
romantic,romántico,romantique
roof,techo,toit
room,habitación,salle
root,raíz,racine
rope,cuerda,corde
rose,rosa,rose
rough,áspero,rugueux
roughly,aproximadamente,à peu près
round,ronda,rond
route,ruta,route
routine,rutina,routine
row,fila,ligne
rub,frotar,frotter
rule,regla,régner
run,correr,cours
running,corriendo,fonctionnement
rural,rural,rural
rush,prisa,se ruer
russian,ruso,russe
sacred,sagrado,sacré
sad,triste,triste
safe,a salvo,sûr
safety,la seguridad,sécurité
sake,motivo,saké
salad,ensalada,salade
salary,salario,un salaire
sale,rebaja,vendre
sales,ventas,ventes
salt,sal,sel
same,mismo,même
sample,muestra,goûter
sanction,sanción,sanction
sand,arena,sable
satellite,satélite,satellite
satisfaction,satisfacción,la satisfaction
satisfy,satisfacer,satisfaire
sauce,salsa,sauce
save,salvar,enregistrer
saving,ahorro,économie
say,decir,dire
scale,escala,escalader
scandal,escándalo,scandale
scared,asustado,effrayé
scenario,guión,scénario
scene,escena,scène
schedule,calendario,programme
scheme,esquema,schème
scholar,erudito,savant
scholarship,beca,bourse
school,colegio,l'école
science,ciencia,la science
scientific,científico,scientifique
scientist,científico,scientifique
scope,alcance,portée
score,puntaje,but
scream,grito,crier
screen,pantalla,écran
script,texto,scénario
sea,mar,mer
search,búsqueda,chercher
season,temporada,saison
seat,asiento,siège
second,segundo,seconde
secret,secreto,secret
secretary,secretario,secrétaire
section,sección,section
sector,sector,secteur
secure,seguro,sécurise
security,seguridad,sécurité
see,ver,voir
seed,semilla,planter
seek,buscar,chercher
seem,parecer,sembler
segment,segmento,segment
seize,aprovechar,s'emparer de
select,seleccione,sélectionner
selection,selección,sélection
self,uno mismo,soi
sell,vender,vendre
senate,senado,sénat
senator,senador,sénateur
send,enviar,envoyer
senior,mayor,sénior
sense,sentido,sens
sensitive,sensible,sensible
sentence,oración,phrase
separate,separar,séparé
sequence,secuencia,séquence
series,serie,séries
serious,grave,sérieux
seriously,seriamente,sérieusement
serve,atender,servir
service,servicio,service
session,sesión,session
set,colocar,ensemble
setting,ajuste,réglage
settle,resolver,régler
settlement,asentamiento,règlement
seven,siete,sept
several,varios,nombreuses
severe,grave,sévère
sex,sexo,sexe
sexual,sexual,sexuel
shade,sombra,ombre
shadow,sombra,ombre
shake,agitar,secouer
shall,deberá,doit
shape,forma,façonner
share,cuota,partager
sharp,afilado,tranchant
she,ella,elle
sheet,sábana,drap
shelf,estante,étagère
shell,cascarón,coquille
shelter,refugio,abri
shift,cambio,changement
shine,brillar,éclat
ship,embarcacion,bateau
shirt,camisa,chemise
shit,mierda,merde
shock,choque,choc
shoe,zapato,chaussure
shoot,disparo,tirer
shooting,tiroteo,tournage
shop,tienda,magasin
shopping,compras,achats
shore,orilla,rive
short,pequeño,court
shortly,dentro de poco,prochainement
shot,disparo,tirer
should,deberían,devrait
shoulder,hombro,épaule
shout,gritar,crier
show,show,afficher
shower,ducha,douche
shrug,encogimiento de hombros,hausser les épaules
shut,cerrar,fermer
sick,enfermo,malade
side,lado,côté
sigh,suspiro,soupir
sight,visión,vue
sign,firmar,signer
signal,señal,signal
significance,significado,importance
significant,significativo,important
significantly,significativamente,significativement
silence,silencio,silence
silent,silencio,silencieux
silver,plata,argent
similar,similar,similaire
similarly,similar,de même
simple,sencillo,facile
simply,simplemente,simplement
sin,pecado,péché
since,ya que,puisque
sing,canta,chanter
singer,cantante,chanteur
single,único,célibataire
sink,hundir,évier
sir,señor,monsieur
sister,hermana,sœur
sit,sentarse,asseoir
site,sitio,placer
situation,situación,situation
six,seis,six
size,talla,taille
ski,esquí,ski
skill,habilidad,compétence
skin,piel,la peau
sky,cielo,ciel
slave,esclavo,trimer
sleep,dormir,sommeil
slice,rodaja,tranche
slide,diapositiva,faire glisser
slight,leve,léger
slightly,levemente,légèrement
slip,deslizar,glisser
slow,lento,lent
slowly,lentamente,lentement
small,pequeña,petit
smart,inteligente,intelligent
smell,oler,sentir
smile,sonreír,le sourire
smoke,humo,fumée
smooth,suave,lisse
snap,quebrar,se casser
snow,nieve,neiger
so,entonces,alors
so-called,así llamado,soi-disant
soccer,fútbol,football
social,social,social
society,sociedad,société
soft,suave,doux
software,software,logiciel
soil,tierra,sol
solar,solar,solaire
soldier,soldado,soldat
solid,sólido,solide
solution,solución,solution
solve,resolver,résoudre
some,algunos,quelque
somebody,alguien,quelqu'un
